host_id,latitude,longitude,room_type,price,number_of_reviews,review_scores_value,neighbourhood
964356,42.3131970326139,-71.1183236209181,2,85,22,10.0,12
5028116,42.31421511820313,-71.10940661048757,2,12,17,9.0,12
57514323,42.31256675906354,-71.1260799891796,2,125,1,10.0,12
391664,42.31678462488679,-71.10731719179363,2,7,7,9.0,12
17401715,42.31362611091293,-71.10819524530064,2,1,0,0.0,12
8154081,42.30370464676229,-71.11397057117235,2,61,7,10.0,12
2796082,42.30334665895726,-71.1049737158891,2,125,132,10.0,12
5670669,42.29106052288582,-71.11593555432006,2,1,14,9.0,12
27860683,42.29763812447256,-71.11399252456933,2,27,0,0.0,12
5580771,42.305376789378734,-71.11324413343733,2,8,12,10.0,12
1805868,42.31449926702607,-71.1122319203949,2,85,3,9.0,12
5689782,42.31738706631696,-71.10003065912305,2,75,43,9.0,12
16052189,42.324236752033926,-71.10812404783636,2,57,1,6.0,12
17549950,42.322198384693365,-71.10629670951586,2,1,0,0.0,12
19056916,42.32284647416693,-71.10517194647886,2,4,0,0.0,12
15123694,42.31803897447978,-71.11687373250301,2,1,20,10.0,12
987917,42.314064798157865,-71.09905545857005,2,7,9,10.0,12
9662986,42.325668119032656,-71.10543388992957,1,19,26,10.0,12
16067950,42.3248744740374,-71.10556705192403,1,149,17,10.0,12
12937716,42.32038118596349,-71.11270172682764,1,168,47,9.0,12
24593919,42.32327560623326,-71.1070588160843,1,25,9,9.0,12
987917,42.313623832199255,-71.09821200812918,2,65,17,9.0,12
20040612,42.32157793713776,-71.1141153320651,1,75,5,10.0,12
22290246,42.32267988827825,-71.11561971775167,1,117,0,0.0,12
1531239,42.32051086048413,-71.11215759278208,1,429,35,9.0,12
848706,42.30633268571335,-71.11902460456068,2,95,53,9.0,12
19798741,42.30992055594116,-71.11072691758284,2,69,0,0.0,12
4102281,42.30757425614119,-71.13463036679991,2,85,17,10.0,12
3578624,42.30997682845222,-71.10962020956269,2,69,13,10.0,12
45402419,42.30907389692646,-71.11254191159418,1,165,9,9.0,12
30314324,42.31357233912847,-71.1138193264009,1,15,2,9.0,12
93635490,42.29644507590941,-71.11118779742438,1,267,0,0.0,12
25636575,42.31169373635401,-71.10116460144604,2,87,6,10.0,12
72132089,42.29985744012216,-71.11235604348676,2,62,20,10.0,12
13424353,42.31842255393602,-71.105505307545,1,11,6,10.0,12
5153431,42.311852721337,-71.10926318625519,1,25,6,10.0,12
1922657,42.317370192680336,-71.11485898821759,1,15,14,9.0,12
352441,42.30704884694953,-71.1166241277204,1,3,3,9.0,12
79103444,42.30906284664378,-71.1114197330592,1,119,13,10.0,12
14696258,42.30883693983967,-71.11935092313678,1,175,148,10.0,12
1498417,42.31923482819862,-71.10501593588093,1,195,24,10.0,12
4191762,42.30606393566502,-71.11516053902132,1,145,4,9.0,12
1169936,42.30398160452899,-71.11848461147697,1,2,10,9.0,12
12795084,42.314827484606575,-71.11295481151114,2,9,42,10.0,12
3676936,42.3048433293264,-71.10627115826995,1,21,41,9.0,12
55603,42.31337132584918,-71.11089129130822,2,75,8,10.0,12
52274002,42.32357026201424,-71.10670813435179,2,46,2,9.0,12
7594805,42.29559333963887,-71.11530145575897,2,75,12,10.0,12
11487565,42.30433800980034,-71.10871729533055,1,5,8,8.0,12
68125441,42.30443377187232,-71.10967688765845,2,6,4,10.0,12
24584716,42.32309568739635,-71.10851426561025,1,13,66,9.0,12
15760345,42.311471674493305,-71.10529985856851,1,19,39,9.0,12
2155838,42.30711033673986,-71.10582362671403,2,1,24,9.0,12
31247560,42.30983484647106,-71.11457927159456,1,45,2,10.0,12
21644095,42.318072566888496,-71.11267005505267,1,399,18,10.0,12
8021,42.32394222442044,-71.10820204241452,1,35,13,9.0,12
5448841,42.309049862943375,-71.11253858596702,1,2,32,10.0,12
37835016,42.32004366635828,-71.10784415823343,2,99,2,10.0,12
66824316,42.308717208857495,-71.11051775662285,1,295,0,0.0,12
11487565,42.30508831134012,-71.10735816883991,2,17,20,8.0,12
19798741,42.30794791179288,-71.10929998832164,2,69,18,10.0,12
4595799,42.30970115849438,-71.11833423971592,2,76,57,9.0,12
49453306,42.32080939243068,-71.10730266023941,1,75,48,10.0,12
38120441,42.31579765902374,-71.11696299856978,2,55,9,8.0,12
18896448,42.32249608513066,-71.11475792071663,2,65,2,10.0,12
6104362,42.318054676409226,-71.1118693618817,2,59,1,0.0,12
18807469,42.299562916444245,-71.11283944617207,2,88,5,10.0,12
1176152,42.30988682257417,-71.11789702317628,1,164,0,0.0,12
24584716,42.32508878303933,-71.10722979809752,1,9,139,9.0,12
5052732,42.31395140584357,-71.11600891554467,1,185,4,10.0,12
49365462,42.32324289956978,-71.11357115025135,2,8,0,0.0,12
32071442,42.31838301910418,-71.10187809594295,2,15,21,9.0,12
1920539,42.30026388087917,-71.11180739447572,2,9,192,10.0,12
1035747,42.318635400684855,-71.1064062759693,1,1,115,10.0,12
5028116,42.31359024362312,-71.10911529916937,3,1,10,10.0,12
35962316,42.31813877306128,-71.1036735352925,1,2,11,10.0,12
4210157,42.32085835010096,-71.11249877013331,1,3,2,9.0,12
10608570,42.31926520385325,-71.11324623810819,2,6,0,0.0,12
47251069,42.31433571613884,-71.11641497800227,1,319,6,10.0,12
3945438,42.306811532274814,-71.11052442247082,2,85,91,9.0,12
48719428,42.32267197982334,-71.10078611527362,2,7,10,9.0,12
69203736,42.30977751293719,-71.11879574479485,2,5,2,6.0,12
1500300,42.30442440184133,-71.11429863527867,1,119,14,9.0,12
28193547,42.32551166968834,-71.11320967171939,1,125,2,10.0,12
79610778,42.3112105796256,-71.10200966765208,2,53,5,9.0,12
1922657,42.31874257570903,-71.11599745541506,2,125,13,9.0,12
77569960,42.30595863609247,-71.13230207833685,1,199,1,10.0,12
3817361,42.30455930241627,-71.11364252468704,1,25,14,10.0,12
1622932,42.30873579543035,-71.0997703666716,1,114,8,10.0,12
13812113,42.31567994817808,-71.11520100639541,2,75,131,10.0,12
119381,42.31556511657293,-71.11482700886869,1,185,8,9.0,12
1480518,42.29572299757349,-71.11942117574478,2,75,150,10.0,12
18807764,42.31199460127128,-71.1104508979181,1,18,0,0.0,12
64682226,42.3068796497014,-71.11231783776945,3,7,5,10.0,12
30490577,42.315922709721605,-71.09957962869748,1,15,71,9.0,12
3381838,42.306539072784176,-71.11789285939363,1,12,10,10.0,12
19342870,42.30861526351077,-71.11488311298572,2,92,1,10.0,12
32784275,42.298776315821605,-71.11159713499715,2,84,6,10.0,12
9329890,42.2974047973222,-71.1139137340823,1,2,29,9.0,12
8498315,42.31796621180112,-71.1115346411253,1,115,70,9.0,12
28193547,42.32489117729767,-71.11344012878439,3,49,0,0.0,12
31691830,42.315904009331135,-71.11404802615597,2,95,25,10.0,12
9991368,42.31274187654604,-71.11201449929162,1,275,1,10.0,12
23759488,42.30454928375496,-71.11553158945944,1,23,75,10.0,12
17844905,42.31527368629765,-71.10846155035345,1,13,59,10.0,12
206353,42.31465541166664,-71.09929095218234,1,192,20,9.0,12
25932315,42.3250487304867,-71.10629608704429,1,175,99,9.0,12
9329890,42.29554924453866,-71.11354968974973,2,7,2,8.0,12
14840087,42.32235541314952,-71.10672991341261,2,65,6,10.0,12
3900945,42.30571166319029,-71.1056671002783,2,1,1,10.0,12
33289576,42.30248683101913,-71.11331372851822,1,185,0,0.0,12
1450086,42.31867699226627,-71.100333066673,1,25,3,9.0,12
14993032,42.31762621945572,-71.10865424017277,1,11,3,9.0,12
9228417,42.31227026019718,-71.10086090909755,1,15,0,0.0,12
24584716,42.32527016657306,-71.10701088601907,1,168,23,9.0,12
1480518,42.29558694639871,-71.11941563945955,2,6,169,10.0,12
29709417,42.29812412303772,-71.11413548740815,2,59,47,9.0,12
